[15:19:14] OK    mu=0.17, sigma2=1.11, LEL=-460.5170
[15:19:14] OK    mu=-0.06, sigma2=4.78, LEL=-460.5170
[15:19:14] OK    mu=-0.28, sigma2=3.56, LEL=-460.5170
[15:19:50] OK    mu=0.17, sigma2=4.17, LEL=-460.5170
[15:19:53] OK    mu=0.39, sigma2=6.00, LEL=-460.5171
[15:20:29] OK    mu=1.06, sigma2=1.11, LEL=-460.5170
[15:20:31] OK    mu=1.06, sigma2=4.78, LEL=-460.5170
[15:20:33] OK    mu=1.28, sigma2=1.72, LEL=-460.5170
[15:20:45] OK    mu=1.50, sigma2=4.78, LEL=-460.5170
